date,supermarket,outlet_id,sku,sku_description,category,pack_size_g,unit_price_sgd,demand_units,safety_stock_units,warehouse_on_hand_units,peak_month,is_peak_month,weekday,lat,lng,outlet_level,ratio
9/30/2025,Fairprice,FAI-OT1,ALM-130G-NATURAL-BAKED-014,Natural Baked Almonds 130g,Almonds,130,5.35,22,229,3394,11,0,1,1.347081605,103.834447,269,1.176726338
9/30/2025,Fairprice,FAI-OT2,ALM-130G-NATURAL-BAKED-014,Natural Baked Almonds 130g,Almonds,130,5.35,28,177,3741,11,0,1,1.370128572,103.8238446,167,0.941532717
9/30/2025,Giant,GIA-OT1,ALM-130G-NATURAL-BAKED-014,Natural Baked Almonds 130g,Almonds,130,5.35,12,156,2167,8,0,1,1.361379758,103.8281229,169,1.085631668
9/30/2025,Giant,GIA-OT2,ALM-130G-NATURAL-BAKED-014,Natural Baked Almonds 130g,Almonds,130,5.35,38,192,5691,8,0,1,1.356046339,103.8006234,223,1.161986797
9/30/2025,Sheng Siong,SHE-OT1,ALM-130G-NATURAL-BAKED-014,Natural Baked Almonds 130g,Almonds,130,5.35,20,308,3653,8,0,1,1.338340746,103.8385964,352,1.142168951
9/30/2025,Sheng Siong,SHE-OT2,ALM-130G-NATURAL-BAKED-014,Natural Baked Almonds 130g,Almonds,130,5.35,22,247,2200,8,0,1,1.338339781,103.8330977,251,1.017111572
9/30/2025,Sheng Siong,SHE-OT3,ALM-130G-NATURAL-BAKED-014,Natural Baked Almonds 130g,Almonds,130,5.35,25,248,1775,8,0,1,1.334423344,103.8082936,249,1.002704735
9/30/2025,Fairprice,FAI-OT1,ALM-130G-ROASTED-002,Roasted Almonds 130g,Almonds,130,5.35,25,213,983,8,0,1,1.347081605,103.834447,226,1.062855281
9/30/2025,Fairprice,FAI-OT2,ALM-130G-ROASTED-002,Roasted Almonds 130g,Almonds,130,5.35,20,356,568,8,0,1,1.370128572,103.8238446,400,1.124444736
9/30/2025,Giant,GIA-OT1,ALM-130G-ROASTED-002,Roasted Almonds 130g,Almonds,130,5.35,33,111,898,8,0,1,1.361379758,103.8281229,123,1.104532028
9/30/2025,Giant,GIA-OT2,ALM-130G-ROASTED-002,Roasted Almonds 130g,Almonds,130,5.35,20,206,1573,8,0,1,1.356046339,103.8006234,201,0.977495509
