order_id,order_datetime,channel,platform,payment_method,customer_id,subtotal_sgd,shipping_fee_sgd,gst_sgd,grand_total_sgd
ORD100001,1/1/2019 12:59,Shopee,Shopee,Atome,CUST101370,1.73,0,0.12,1.85
ORD100003,1/1/2019 20:22,Shopee,Shopee,PayNow,CUST102726,31.52,0,2.21,33.73
ORD100006,1/1/2019 14:57,Lazada,Lazada,GrabPay,CUST103095,16.88,0,1.18,18.06
ORD100008,1/1/2019 10:48,Website,Website,Credit Card,CUST100561,1.35,3,0.3,4.65
ORD100012,1/1/2019 11:13,Lazada,Lazada,Credit Card,CUST104714,29.14,3,2.25,34.39
ORD100013,1/1/2019 20:48,Shopee,Shopee,GrabPay,CUST103508,13.34,3,1.14,17.48
ORD100014,1/1/2019 17:53,Website,Website,Credit Card,CUST104821,21.18,3.9,1.76,26.84
ORD100017,1/1/2019 11:23,Shopee,Shopee,Atome,CUST101901,11.82,2.5,1,15.32
ORD100018,1/1/2019 12:07,Lazada,Lazada,Credit Card,CUST100109,13,3,1.12,17.12
ORD100023,1/1/2019 10:00,GrabMart,GrabMart,GrabPay,CUST104571,20.58,3.9,1.71,26.19
ORD100025,1/1/2019 21:53,Lazada,Lazada,Atome,CUST103346,5.9,0,0.41,6.31
ORD100028,1/2/2019 18:47,Lazada,Lazada,Atome,CUST104830,5.62,2.5,0.57,8.69
ORD100029,1/2/2019 10:29,Lazada,Lazada,Atome,CUST101730,16.26,2.5,1.31,20.07
ORD100031,1/2/2019 13:52,Lazada,Lazada,PayNow,CUST100864,5.51,0,0.39,5.9
ORD100032,1/2/2019 19:01,Lazada,Lazada,Credit Card,CUST102961,6.04,0,0.42,6.46
ORD100033,1/2/2019 13:42,FairPrice_Online,FairPrice_Online,Credit Card,CUST100341,9.28,3,0.86,13.14
ORD100034,1/2/2019 19:40,Shopee,Shopee,PayNow,CUST104548,18.01,3,1.47,22.48
ORD100041,1/2/2019 11:32,Lazada,Lazada,Credit Card,CUST100719,2,0,0.14,2.14
ORD100042,1/2/2019 11:23,Lazada,Lazada,PayNow,CUST101104,11.51,0,0.81,12.32
ORD100044,1/2/2019 20:32,Shopee,Shopee,Credit Card,CUST104570,7.32,0,0.51,7.83
ORD100046,1/2/2019 21:50,Shopee,Shopee,Atome,CUST100748,10,3,0.91,13.91
ORD100047,1/2/2019 11:00,Shopee,Shopee,ShopeePay,CUST102060,0.64,2.5,0.22,3.36
ORD100051,1/2/2019 18:26,Shopee,Shopee,Credit Card,CUST101591,3.2,3.9,0.5,7.6
ORD100052,1/2/2019 12:18,Shopee,Shopee,GrabPay,CUST103722,11.24,3.9,1.06,16.2
ORD100054,1/2/2019 17:06,Shopee,Shopee,Credit Card,CUST100414,31.23,2.5,2.36,36.09
ORD100055,1/2/2019 15:53,Shopee,Shopee,Credit Card,CUST102690,5.98,3.9,0.69,10.57
ORD100057,1/2/2019 17:59,Lazada,Lazada,Credit Card,CUST100589,7.8,0,0.55,8.35
ORD100058,1/2/2019 12:07,Shopee,Shopee,Atome,CUST102197,8.75,0,0.61,9.36
ORD100063,1/3/2019 14:36,Shopee,Shopee,PayNow,CUST100245,43,0,3.01,46.01
ORD100066,1/3/2019 15:02,Shopee,Shopee,Atome,CUST103807,10,3,0.91,13.91
ORD100067,1/3/2019 17:09,Shopee,Shopee,PayNow,CUST104101,5.16,3,0.57,8.73
ORD100068,1/3/2019 12:09,GrabMart,GrabMart,GrabPay,CUST104967,3.54,2.5,0.42,6.46
ORD100070,1/3/2019 14:22,Website,Website,GrabPay,CUST100673,3,3.9,0.48,7.38
ORD100071,1/3/2019 21:12,Website,Website,Credit Card,CUST101236,5.35,0,0.37,5.72
ORD100075,1/3/2019 15:22,Shopee,Shopee,Credit Card,CUST102094,27.25,0,1.91,29.16
ORD100076,1/3/2019 12:23,Website,Website,Atome,CUST100387,3.46,3,0.45,6.91
ORD100078,1/3/2019 19:21,Lazada,Lazada,GrabPay,CUST104951,21.68,2.5,1.69,25.87
ORD100080,1/3/2019 18:11,Lazada,Lazada,GrabPay,CUST103087,13.37,2.5,1.11,16.98
ORD100081,1/4/2019 9:13,Website,Website,Atome,CUST102248,8.19,3,0.78,11.97
ORD100084,1/4/2019 14:05,Shopee,Shopee,Credit Card,CUST102506,4.28,0,0.3,4.58
ORD100085,1/4/2019 19:15,Shopee,Shopee,Credit Card,CUST104573,0.54,2.5,0.21,3.25
ORD100086,1/4/2019 10:09,Shopee,Shopee,ShopeePay,CUST100498,19.33,3,1.56,23.89
ORD100088,1/4/2019 9:05,Lazada,Lazada,Credit Card,CUST102194,15.6,0,1.09,16.69
ORD100089,1/4/2019 21:30,Website,Website,PayNow,CUST102072,8.34,2.5,0.76,11.6
ORD100091,1/4/2019 13:25,Shopee,Shopee,PayNow,CUST101049,18.01,0,1.26,19.27
ORD100092,1/4/2019 12:20,Website,Website,Credit Card,GUEST1097,1.12,0,0.08,1.2
ORD100098,1/4/2019 20:11,Shopee,Shopee,GrabPay,CUST101522,26.74,0,1.87,28.61
ORD100099,1/4/2019 10:38,Shopee,Shopee,Credit Card,CUST103830,15.24,0,1.07,16.31
ORD100101,1/4/2019 16:09,RedMart,RedMart,Atome,CUST102487,9.48,2.5,0.84,12.82
ORD100102,1/4/2019 11:27,Shopee,Shopee,ShopeePay,CUST100975,3.12,3.9,0.49,7.51
ORD100103,1/4/2019 12:51,Shopee,Shopee,Credit Card,CUST101478,18.25,0,1.28,19.53
ORD100104,1/4/2019 14:38,Lazada,Lazada,GrabPay,CUST102267,20.77,0,1.45,22.22
ORD100105,1/4/2019 18:20,Shopee,Shopee,GrabPay,CUST102840,15.2,0,1.06,16.26
ORD100106,1/4/2019 14:24,Lazada,Lazada,GrabPay,CUST101433,12.76,2.5,1.07,16.33
ORD100107,1/4/2019 18:06,Shopee,Shopee,PayNow,CUST101991,19.25,0,1.35,20.6
ORD100108,1/4/2019 14:19,Website,Website,GrabPay,CUST104292,7.13,0,0.5,7.63
ORD100109,1/4/2019 20:38,Shopee,Shopee,Credit Card,CUST104140,1.73,2.5,0.3,4.53
ORD100111,1/5/2019 16:45,Shopee,Shopee,PayNow,CUST100347,4.86,3.9,0.61,9.37
ORD100114,1/5/2019 18:33,Shopee,Shopee,Credit Card,CUST102087,29.92,3.9,2.37,36.19
ORD100115,1/5/2019 13:42,Lazada,Lazada,Atome,CUST100993,15.75,0,1.1,16.85
ORD100116,1/5/2019 9:00,Lazada,Lazada,PayNow,CUST102052,5,3,0.56,8.56
ORD100117,1/5/2019 21:33,Website,Website,GrabPay,CUST102525,20.09,0,1.41,21.5
ORD100120,1/5/2019 17:00,Lazada,Lazada,Credit Card,CUST103695,11.92,3,1.04,15.96
ORD100122,1/5/2019 13:49,Lazada,Lazada,Credit Card,CUST102830,0.96,3,0.28,4.24
ORD100123,1/5/2019 10:36,Shopee,Shopee,Atome,CUST103062,8.94,2.5,0.8,12.24
ORD100124,1/5/2019 13:05,Website,Website,Credit Card,CUST104732,5.51,0,0.39,5.9
ORD100125,1/5/2019 14:31,Lazada,Lazada,Credit Card,CUST102011,10.11,3,0.92,14.03
ORD100126,1/5/2019 21:42,Lazada,Lazada,PayNow,CUST104801,12.76,0,0.89,13.65
ORD100127,1/5/2019 10:44,Lazada,Lazada,Credit Card,CUST102634,4.18,3.9,0.57,8.65
ORD100129,1/5/2019 9:45,Shopee,Shopee,GrabPay,CUST100534,3.2,2.5,0.4,6.1
ORD100130,1/5/2019 10:30,Website,Website,PayNow,CUST101643,32.6,0,2.28,34.88
ORD100131,1/5/2019 11:25,Shopee,Shopee,ShopeePay,CUST102283,13.4,0,0.94,14.34
ORD100132,1/5/2019 14:07,Lazada,Lazada,Atome,CUST100890,11.71,2.5,0.99,15.2
ORD100133,1/5/2019 14:58,Shopee,Shopee,Atome,CUST102702,16.53,3.9,1.43,21.86
ORD100134,1/5/2019 21:07,Lazada,Lazada,PayNow,CUST104039,68.05,3,4.97,76.02
ORD100141,1/5/2019 18:18,Website,Website,Credit Card,CUST104474,3.36,2.5,0.41,6.27
ORD100143,1/5/2019 10:15,Website,Website,Atome,CUST103803,0.64,3,0.25,3.89
ORD100144,1/5/2019 19:51,GrabMart,GrabMart,Atome,CUST101557,24.44,0,1.71,26.15
ORD100145,1/5/2019 11:24,Website,Website,Atome,CUST102012,3.25,3,0.44,6.69
ORD100146,1/5/2019 15:35,Lazada,Lazada,Atome,CUST102504,6.18,3.9,0.71,10.79
ORD100148,1/5/2019 20:54,Shopee,Shopee,ShopeePay,CUST100401,1.76,0,0.12,1.88
ORD100150,1/6/2019 10:03,Website,Website,GrabPay,CUST100259,4.36,3,0.52,7.88
ORD100151,1/6/2019 20:12,FairPrice_Online,FairPrice_Online,Credit Card,CUST103722,15.23,2.5,1.24,18.97
ORD100153,1/6/2019 14:05,Shopee,Shopee,ShopeePay,CUST104201,24.99,3,1.96,29.95
ORD100155,1/6/2019 15:05,Website,Website,PayNow,CUST100584,22.33,3,1.77,27.1
ORD100156,1/6/2019 11:44,Shopee,Shopee,PayNow,CUST102270,6.42,0,0.45,6.87
ORD100158,1/6/2019 15:56,Shopee,Shopee,ShopeePay,CUST101371,24.94,0,1.75,26.69
ORD100159,1/6/2019 15:49,Shopee,Shopee,Atome,CUST101055,12.15,0,0.85,13
ORD100160,1/6/2019 9:15,Shopee,Shopee,PayNow,CUST103508,6.2,0,0.43,6.63
ORD100164,1/6/2019 11:25,FairPrice_Online,FairPrice_Online,Atome,CUST101805,21.18,0,1.48,22.66
ORD100165,1/6/2019 14:16,Lazada,Lazada,Atome,CUST103237,11.07,3,0.98,15.05
ORD100170,1/6/2019 9:22,Shopee,Shopee,Atome,CUST104707,3.2,2.5,0.4,6.1
ORD100180,1/7/2019 18:48,Lazada,Lazada,Credit Card,CUST102713,13,2.5,1.09,16.59
ORD100183,1/7/2019 13:22,Lazada,Lazada,Credit Card,CUST100023,3.46,3,0.45,6.91
ORD100185,1/7/2019 20:04,Lazada,Lazada,GrabPay,CUST104166,15.95,2.5,1.29,19.74
ORD100188,1/7/2019 12:06,Lazada,Lazada,Credit Card,CUST100906,11,0,0.77,11.77
ORD100189,1/7/2019 17:05,Lazada,Lazada,Atome,CUST101928,5,2.5,0.53,8.03
ORD100194,1/7/2019 19:42,Shopee,Shopee,Atome,CUST104505,2.8,3.9,0.47,7.17
ORD100195,1/7/2019 18:12,Shopee,Shopee,PayNow,CUST104299,10,3.9,0.97,14.87
ORD100197,1/7/2019 10:14,Shopee,Shopee,ShopeePay,CUST101655,39.36,0,2.76,42.12
ORD100199,1/7/2019 13:06,Lazada,Lazada,Credit Card,CUST103789,6.79,3.9,0.75,11.44
ORD100214,1/8/2019 10:17,Shopee,Shopee,Atome,CUST103651,10.53,0,0.74,11.27
ORD100216,1/8/2019 10:53,Shopee,Shopee,ShopeePay,CUST102019,6.18,0,0.43,6.61
ORD100223,1/8/2019 15:11,Shopee,Shopee,Credit Card,CUST102698,4.95,3.9,0.62,9.47
ORD100224,1/8/2019 15:16,Shopee,Shopee,Atome,CUST101351,21.91,3.9,1.81,27.62
ORD100226,1/8/2019 20:06,Shopee,Shopee,ShopeePay,CUST104625,17.72,0,1.24,18.96
ORD100231,1/9/2019 11:10,Shopee,Shopee,Atome,CUST103687,11,0,0.77,11.77
ORD100234,1/9/2019 20:33,GrabMart,GrabMart,Atome,CUST102513,2.7,0,0.19,2.89
ORD100235,1/9/2019 10:53,Lazada,Lazada,Credit Card,CUST104280,20.05,2.5,1.58,24.13
ORD100238,1/9/2019 21:00,Shopee,Shopee,PayNow,CUST103880,11.66,0,0.82,12.48
ORD100239,1/9/2019 13:40,Shopee,Shopee,Credit Card,CUST103895,27.68,3,2.15,32.83
ORD100243,1/9/2019 14:09,Shopee,Shopee,PayNow,CUST101590,5.62,3,0.6,9.22
ORD100244,1/9/2019 10:44,Shopee,Shopee,ShopeePay,CUST104210,8.82,0,0.62,9.44
ORD100246,1/9/2019 14:41,Lazada,Lazada,Credit Card,CUST101875,2.94,0,0.21,3.15
ORD100248,1/9/2019 21:10,Shopee,Shopee,GrabPay,CUST104933,8.22,0,0.58,8.8
ORD100251,1/9/2019 21:17,Shopee,Shopee,Atome,CUST100487,2.7,0,0.19,2.89
ORD100252,1/9/2019 11:07,Website,Website,Credit Card,CUST103507,6,3.9,0.69,10.59
ORD100253,1/9/2019 18:13,Lazada,Lazada,Credit Card,CUST104527,6.2,3,0.64,9.84
ORD100258,1/10/2019 16:07,Shopee,Shopee,ShopeePay,CUST100469,44.66,2.5,3.3,50.46
ORD100263,1/10/2019 11:27,Shopee,Shopee,ShopeePay,CUST100552,7,0,0.49,7.49
ORD100264,1/10/2019 18:49,Lazada,Lazada,Credit Card,CUST102105,23.37,3,1.85,28.22
ORD100266,1/10/2019 20:54,Shopee,Shopee,PayNow,CUST101887,24.3,3.9,1.97,30.17
ORD100269,1/10/2019 19:19,GrabMart,GrabMart,GrabPay,CUST102602,14.84,3,1.25,19.09
ORD100272,1/10/2019 17:38,Shopee,Shopee,GrabPay,CUST104045,13.4,3,1.15,17.55
ORD100276,1/10/2019 12:08,GrabMart,GrabMart,Credit Card,CUST100581,16.53,3,1.37,20.9
ORD100277,1/10/2019 9:39,Lazada,Lazada,GrabPay,CUST103939,31.2,3.9,2.46,37.56
ORD100278,1/10/2019 11:28,Website,Website,GrabPay,CUST103063,50.28,3,3.73,57.01
ORD100279,1/10/2019 19:44,Website,Website,Credit Card,CUST100948,26,3.9,2.09,31.99
ORD100282,1/10/2019 16:12,Shopee,Shopee,GrabPay,CUST104878,95.63,3.9,6.97,106.5
ORD100284,1/10/2019 10:56,Website,Website,PayNow,CUST104125,39.56,0,2.77,42.33
ORD100286,1/10/2019 12:50,Shopee,Shopee,GrabPay,GUEST1071,13.37,0,0.94,14.31
ORD100292,1/11/2019 21:02,Shopee,Shopee,Atome,CUST100698,39.74,0,2.78,42.52
ORD100293,1/11/2019 18:23,Lazada,Lazada,Credit Card,CUST104026,11.2,3.9,1.06,16.16
ORD100295,1/11/2019 13:11,FairPrice_Online,FairPrice_Online,PayNow,CUST102019,13.84,0,0.97,14.81
ORD100296,1/11/2019 12:26,Shopee,Shopee,Atome,CUST101151,12.15,0,0.85,13
ORD100299,1/11/2019 12:33,Shopee,Shopee,PayNow,CUST102682,9.72,0,0.68,10.4
ORD100300,1/11/2019 15:09,Website,Website,Credit Card,CUST104901,4.1,2.5,0.46,7.06
ORD100302,1/11/2019 14:12,Shopee,Shopee,Credit Card,CUST102962,24.1,0,1.69,25.79
ORD100303,1/11/2019 19:30,Lazada,Lazada,GrabPay,CUST100229,10.8,3,0.97,14.77
ORD100306,1/11/2019 15:21,GrabMart,GrabMart,GrabPay,CUST101195,11.02,3.9,1.04,15.96
ORD100308,1/11/2019 21:54,Website,Website,PayNow,CUST101088,5.51,0,0.39,5.9
ORD100309,1/11/2019 17:21,Shopee,Shopee,ShopeePay,CUST101177,5.4,3,0.59,8.99
ORD100310,1/11/2019 17:56,Shopee,Shopee,Credit Card,CUST100969,1.18,0,0.08,1.26
ORD100311,1/11/2019 20:52,Shopee,Shopee,GrabPay,CUST100958,5.16,0,0.36,5.52
ORD100313,1/11/2019 17:40,Lazada,Lazada,PayNow,CUST104609,11.76,3.9,1.1,16.76
ORD100315,1/11/2019 15:59,Lazada,Lazada,Credit Card,CUST103109,0.64,3,0.25,3.89
ORD100316,1/11/2019 13:58,Shopee,Shopee,ShopeePay,CUST101272,3,0,0.21,3.21
ORD100319,1/11/2019 14:46,GrabMart,GrabMart,GrabPay,CUST103659,15.2,0,1.06,16.26
ORD100321,1/11/2019 17:46,Lazada,Lazada,Credit Card,CUST100041,9.58,0,0.67,10.25
ORD100331,1/12/2019 10:11,GrabMart,GrabMart,Atome,CUST101750,5.62,0,0.39,6.01
ORD100332,1/12/2019 10:41,Shopee,Shopee,ShopeePay,CUST104320,15.95,2.5,1.29,19.74
